,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
0,"[4, 4, 4, 9, 29]",[50],1618,1110,94314,82.13082191780822,5277,35,853
1,"[4, 4, 4, 10, 28]",[50],1687,1082,104208,79.7595890410959,5216,50,886
2,"[4, 4, 4, 11, 27]",[50],1594,1289,111216,77.7595890410959,5118,22,855
3,"[4, 4, 4, 12, 26]",[50],1596,1186,97260,75.48972602739727,4901,37,862
4,"[4, 4, 4, 13, 25]",[50],1639,1362,107952,76.23150684931507,4799,46,892
5,"[4, 4, 4, 14, 24]",[50],1852,1515,146598,73.96027397260274,4650,69,1010
6,"[4, 4, 4, 15, 23]",[50],1716,1601,100962,71.6082191780822,4631,65,803
7,"[4, 4, 5, 8, 29]",[50],1504,1118,65850,83.38972602739726,5458,32,647
8,"[4, 4, 5, 9, 28]",[50],1364,1255,45984,81.61643835616438,5308,38,540
9,"[4, 4, 5, 10, 27]",[50],1277,1236,36270,78.82739726027397,5346,16,453
10,"[4, 4, 5, 11, 26]",[50],1463,1329,57576,79.74452054794521,5331,43,646
11,"[4, 4, 5, 12, 25]",[50],1426,1320,55668,76.0458904109589,5183,37,609
12,"[4, 4, 5, 13, 24]",[50],1339,1413,61488,74.37054794520547,5184,15,668
13,"[4, 4, 5, 14, 23]",[50],1473,1516,60522,72.22808219178081,4793,34,690
14,"[4, 4, 5, 15, 22]",[50],1460,1758,64440,71.18150684931507,5003,28,706
15,"[4, 4, 6, 7, 29]",[50],1135,1039,27882,82.87671232876713,5742,18,364
16,"[4, 4, 6, 8, 28]",[50],1114,1172,30984,81.08219178082192,5513,16,422
17,"[4, 4, 6, 9, 27]",[50],1164,1246,26856,79.62123287671233,5594,13,394
18,"[4, 4, 6, 10, 26]",[50],1255,1268,37752,79.03698630136986,5370,39,405
19,"[4, 4, 6, 11, 25]",[50],1428,1387,47106,77.79657534246576,5273,40,452
20,"[4, 4, 6, 12, 24]",[50],1141,1471,28752,75.30410958904109,5297,21,425
21,"[4, 4, 6, 13, 23]",[50],1324,1594,37992,73.96986301369863,5081,31,437
22,"[4, 4, 6, 14, 22]",[50],1250,1647,34944,73.03904109589041,5110,33,410
23,"[4, 4, 7, 6, 29]",[50],1174,947,38664,83.44041095890411,5775,43,297
24,"[4, 4, 7, 7, 28]",[50],1136,1169,24636,82.11438356164383,5700,20,298
25,"[4, 4, 7, 8, 27]",[50],1231,1281,36738,80.43356164383562,5558,43,336
26,"[4, 4, 7, 9, 26]",[50],1073,1333,23586,80.13561643835617,5696,20,303
27,"[4, 4, 7, 10, 25]",[50],1158,1340,29130,77.7041095890411,5302,27,262
28,"[4, 4, 7, 11, 24]",[50],1136,1425,32256,76.32397260273973,5456,33,332
29,"[4, 4, 7, 12, 23]",[50],1141,1557,23712,73.70821917808219,5327,20,270
30,"[4, 4, 7, 13, 22]",[50],1132,1590,30168,72.63972602739726,5179,34,303
31,"[4, 4, 8, 5, 29]",[50],1065,1016,30192,82.75068493150684,5811,43,125
32,"[4, 4, 8, 6, 28]",[50],1004,1147,21948,83.10958904109589,5896,20,220
33,"[4, 4, 8, 7, 27]",[50],795,1427,17436,79.96712328767124,5789,18,167
34,"[4, 4, 8, 8, 26]",[50],1078,1346,27462,79.1445205479452,5581,38,223
35,"[4, 4, 8, 9, 25]",[50],854,1314,20154,76.88150684931507,5799,20,219
36,"[4, 4, 8, 10, 24]",[50],1036,1535,25554,76.80342465753425,5388,38,153
37,"[4, 4, 8, 11, 23]",[50],983,1585,17616,75.0486301369863,5560,19,212
38,"[4, 4, 8, 12, 22]",[50],1013,1649,29040,73.59657534246575,5286,38,193
39,"[4, 4, 9, 4, 29]",[50],1293,1040,36096,85.33219178082192,5613,48,193
40,"[4, 4, 9, 5, 28]",[50],1201,1126,38100,83.3904109589041,5654,61,138
41,"[4, 4, 9, 6, 27]",[50],1053,1281,24660,82.03424657534246,5644,34,127
42,"[4, 4, 9, 7, 26]",[50],889,1428,18642,80.37260273972603,5810,22,134
43,"[4, 4, 9, 8, 25]",[50],890,1278,17352,77.4513698630137,5611,23,117
