,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
0,"[4, 4, 4, 9, 7]",[28],1600,101,93306,68.17025440313111,3272,17,903
1,"[4, 4, 4, 10, 6]",[28],1642,175,131442,66.13625244618395,3086,37,952
2,"[4, 4, 4, 11, 5]",[28],1679,248,102786,64.27715264187867,3046,62,759
3,"[4, 4, 4, 12, 4]",[28],1584,277,98034,59.279598825831705,3144,23,904
4,"[4, 4, 4, 13, 3]",[28],1652,372,123672,59.09735812133072,3046,28,908
5,"[4, 4, 4, 14, 2]",[28],1480,434,101928,55.17000978473581,3113,11,910
6,"[4, 4, 4, 15, 1]",[28],1795,504,109524,51.92759295499022,2726,78,828
7,"[4, 4, 5, 8, 7]",[28],1348,137,54204,69.46795499021526,3561,24,684
8,"[4, 4, 5, 9, 6]",[28],1405,235,71778,71.69887475538161,3363,30,771
9,"[4, 4, 5, 10, 5]",[28],1477,237,71760,64.22333659491194,3201,51,626
10,"[4, 4, 5, 11, 4]",[28],1190,270,53556,59.48140900195694,3505,10,663
11,"[4, 4, 5, 12, 3]",[28],1492,321,60144,59.833659491193735,3247,41,627
12,"[4, 4, 5, 13, 2]",[28],1434,416,53550,55.445205479452056,3155,55,543
13,"[4, 4, 5, 14, 1]",[28],1320,504,51570,51.46771037181996,3161,15,636
14,"[4, 4, 5, 15, 0]",[28],1307,575,45048,52.53057729941292,3030,15,615
15,"[4, 4, 6, 7, 7]",[28],1168,99,35970,70.66658512720156,3810,25,467
16,"[4, 4, 6, 8, 6]",[28],1287,181,43542,71.4334637964775,3579,47,371
17,"[4, 4, 6, 9, 5]",[28],1251,253,32964,66.616927592955,3591,21,404
18,"[4, 4, 6, 10, 4]",[28],1202,266,35448,63.970156555772995,3453,13,490
19,"[4, 4, 6, 11, 3]",[28],1221,332,39984,61.64750489236791,3406,31,446
20,"[4, 4, 6, 12, 2]",[28],1032,376,21120,55.99559686888455,3512,7,346
21,"[4, 4, 6, 13, 1]",[28],1345,478,42948,56.07509784735812,3188,43,415
22,"[4, 4, 6, 14, 0]",[28],1375,566,47004,51.331947162426616,3065,55,423
23,"[4, 4, 7, 6, 7]",[28],1151,118,29904,69.66120352250489,3611,39,237
24,"[4, 4, 7, 7, 6]",[28],1202,187,31818,71.51663405088063,3720,22,345
25,"[4, 4, 7, 8, 5]",[28],1011,252,21936,71.72822896281801,3829,4,360
26,"[4, 4, 7, 9, 4]",[28],948,295,19680,66.6768590998043,3764,8,290
27,"[4, 4, 7, 10, 3]",[28],1213,351,24306,64.52544031311155,3534,30,208
28,"[4, 4, 7, 11, 2]",[28],1174,383,31140,61.26223091976517,3507,38,269
29,"[4, 4, 7, 12, 1]",[28],1059,507,23064,56.386986301369866,3437,14,325
30,"[4, 4, 7, 13, 0]",[28],1166,584,27906,56.63772015655577,3286,29,245
31,"[4, 4, 8, 5, 7]",[28],1125,82,24798,69.88869863013699,3763,36,158
32,"[4, 4, 8, 6, 6]",[28],1074,165,20904,71.15704500978474,3781,25,178
33,"[4, 4, 8, 7, 5]",[28],1065,252,34512,68.20083170254404,3703,51,192
34,"[4, 4, 8, 8, 4]",[28],978,283,17970,64.65753424657534,3764,16,186
35,"[4, 4, 8, 9, 3]",[28],1116,321,27180,63.70352250489236,3567,45,141
36,"[4, 4, 8, 10, 2]",[28],901,456,13800,61.56433463796478,3874,7,203
37,"[4, 4, 8, 11, 1]",[28],1031,507,25548,57.05357142857142,3459,40,150
38,"[4, 4, 8, 12, 0]",[28],1077,608,39504,55.1908023483366,3283,76,148
39,"[4, 4, 9, 4, 7]",[28],993,103,22344,68.26198630136986,3937,31,136
40,"[4, 4, 9, 5, 6]",[28],981,164,24546,68.57509784735812,3804,43,77
41,"[4, 4, 9, 6, 5]",[28],1018,286,25122,68.56042074363992,3799,31,121
42,"[4, 4, 9, 7, 4]",[28],944,327,20370,67.22602739726027,3784,32,84
43,"[4, 4, 9, 8, 3]",[28],908,338,20760,63.75978473581213,3786,26,137
44,"[4, 4, 9, 9, 2]",[28],876,434,23556,59.85200587084149,3649,42,94
45,"[4, 4, 9, 10, 1]",[28],1010,505,23598,56.8383072407045,3612,39,86
46,"[4, 4, 9, 11, 0]",[28],677,633,9798,53.56286692759296,3775,5,123
47,"[4, 4, 10, 4, 6]",[28],1074,184,23190,67.54647749510764,3670,37,91
48,"[4, 4, 10, 5, 5]",[28],909,214,19212,67.7274951076321,3933,21,126
49,"[4, 4, 10, 6, 4]",[28],833,267,19296,65.12842465753424,3837,28,77
50,"[4, 4, 10, 7, 3]",[28],882,365,18078,63.32069471624266,3839,27,94
51,"[4, 4, 10, 8, 2]",[28],923,454,25530,60.6323385518591,3696,41,100
52,"[4, 4, 10, 9, 1]",[28],852,541,13602,59.341976516634055,3777,10,123
53,"[4, 4, 10, 10, 0]",[28],903,599,23472,57.81066536203523,3473,32,119
54,"[4, 4, 11, 4, 5]",[28],921,231,13344,65.87206457925636,3812,10,111
55,"[4, 4, 11, 5, 4]",[28],794,351,13596,63.97994129158513,3831,9,90
56,"[4, 4, 11, 6, 3]",[28],851,362,12816,63.03326810176125,3858,13,68
57,"[4, 4, 11, 7, 2]",[28],756,453,11274,61.051859099804304,3718,14,54
58,"[4, 4, 11, 8, 1]",[28],974,481,26904,60.152886497064586,3590,43,71
