,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
57,"[4, 4, 7, 11, 12, 5]",43,984,1352,20868,45.16406498884995,3835,23,227
58,"[4, 4, 7, 12, 11, 5]",38,1011,519,23190,64.96665465032444,4229,21,282
59,"[4, 4, 7, 12, 11, 5]",43,1015,1387,25428,47.97467346288627,3861,24,282
60,"[4, 4, 7, 13, 10, 5]",38,1060,522,22530,61.886265320836344,4278,17,268
61,"[4, 4, 7, 13, 10, 5]",43,1033,1306,27078,44.35648295635553,3686,32,263
62,"[4, 4, 8, 5, 17, 5]",38,1105,110,23310,72.51171593366979,4515,23,195
63,"[4, 4, 8, 5, 17, 5]",43,1217,1329,32310,46.85250079643198,3663,36,213
64,"[4, 4, 8, 6, 16, 5]",38,979,181,18000,74.00054073540015,4423,24,145
65,"[4, 4, 8, 6, 16, 5]",43,1243,1335,42636,47.515928639694174,3697,66,230
66,"[4, 4, 8, 7, 15, 5]",38,1057,184,24120,70.55966113914924,4519,30,172
67,"[4, 4, 8, 7, 15, 5]",43,1079,1253,33636,46.46463841987894,3830,52,174
68,"[4, 4, 8, 8, 14, 5]",38,824,253,14748,71.20583994232156,4650,8,200
69,"[4, 4, 8, 8, 14, 5]",43,959,1400,18828,47.57566103854731,3816,19,181
70,"[4, 4, 8, 9, 13, 5]",38,809,280,11490,68.78514780100937,4503,7,182
71,"[4, 4, 8, 9, 13, 5]",43,1076,1277,27408,47.46097483274928,3824,26,230
72,"[4, 4, 8, 10, 12, 5]",38,951,392,23736,67.06020187454939,4363,34,151
73,"[4, 4, 8, 10, 12, 5]",43,988,1278,22818,45.65068493150685,3891,27,179
74,"[4, 4, 8, 11, 11, 5]",38,888,420,17412,63.94646719538572,4499,16,190
75,"[4, 4, 8, 11, 11, 5]",43,972,1268,24882,46.86046511627907,3875,36,175
76,"[4, 4, 8, 12, 10, 5]",38,988,555,20424,62.70547945205479,4230,20,210
77,"[4, 4, 8, 12, 10, 5]",43,947,1355,18816,47.59397897419561,3871,8,216
78,"[4, 4, 9, 4, 17, 5]",38,977,134,11616,73.28406633020909,4693,3,170
79,"[4, 4, 9, 4, 17, 5]",43,1055,1348,25152,45.02628225549538,3790,27,147
80,"[4, 4, 9, 5, 16, 5]",38,954,170,21720,72.18637346791637,4540,26,146
81,"[4, 4, 9, 5, 16, 5]",43,900,1291,12600,46.07597961134119,3970,2,146
82,"[4, 4, 9, 6, 15, 5]",38,1012,211,29928,72.16204037490988,4582,44,120
83,"[4, 4, 9, 6, 15, 5]",43,960,1251,20250,45.97562918126792,3955,22,131
84,"[4, 4, 9, 7, 14, 5]",38,928,287,17652,71.841204037491,4683,21,113
85,"[4, 4, 9, 7, 14, 5]",43,963,1234,22896,48.024848677922904,3956,37,103
86,"[4, 4, 9, 8, 13, 5]",38,1018,327,24330,70.00360490266763,4421,36,124
87,"[4, 4, 9, 8, 13, 5]",43,935,1316,25014,46.48215992354253,3953,36,108
88,"[4, 4, 9, 9, 12, 5]",38,985,388,23964,69.06092285508292,4380,39,123
89,"[4, 4, 9, 9, 12, 5]",43,987,1333,25896,46.41605606881172,3808,35,139
90,"[4, 4, 9, 10, 11, 5]",38,1113,419,30318,69.46106705118962,4178,44,155
91,"[4, 4, 9, 10, 11, 5]",43,947,1275,19224,47.45699267282574,3985,18,141
92,"[4, 4, 9, 11, 10, 5]",38,970,568,17580,65.6966474405191,4339,13,134
93,"[4, 4, 9, 11, 10, 5]",43,845,1347,18864,45.84899649569927,4018,25,132
94,"[4, 4, 10, 4, 16, 5]",38,940,107,15528,70.49206921413122,4662,9,143
95,"[4, 4, 10, 4, 16, 5]",43,929,1365,13128,44.76903472443453,3849,11,104
96,"[4, 4, 10, 5, 15, 5]",38,908,221,19524,69.53857245854363,4552,25,77
97,"[4, 4, 10, 5, 15, 5]",43,989,1309,27522,46.175533609429756,3844,39,104
98,"[4, 4, 10, 6, 14, 5]",38,843,295,13230,70.37220620043259,4620,12,80
99,"[4, 4, 10, 6, 14, 5]",43,973,1211,31032,45.53998088563237,3858,51,80
100,"[4, 4, 10, 7, 13, 5]",38,1034,346,27918,70.53082191780821,4487,45,69
101,"[4, 4, 10, 7, 13, 5]",43,765,1265,12336,45.413348200063716,4081,15,86
102,"[4, 4, 10, 8, 12, 5]",38,914,381,26088,67.24495313626532,4357,37,109
103,"[4, 4, 10, 8, 12, 5]",43,866,1347,23286,48.290856960815546,3935,39,66
104,"[4, 4, 10, 9, 11, 5]",38,951,469,22368,67.91997116077866,4451,31,70
105,"[4, 4, 10, 9, 11, 5]",43,854,1297,19704,46.551449506212165,4047,25,81
106,"[4, 4, 10, 10, 10, 5]",38,949,550,21504,64.24567411679885,4304,35,69
107,"[4, 4, 10, 10, 10, 5]",43,862,1376,18390,45.72236381013062,4079,23,101
108,"[4, 4, 11, 4, 15, 5]",38,1022,244,37266,69.70620043258832,4470,68,64
109,"[4, 4, 11, 4, 15, 5]",43,1160,1244,35052,46.48693851545078,3746,61,82
110,"[4, 4, 11, 5, 14, 5]",38,848,293,9480,71.86643835616438,4537,2,90
111,"[4, 4, 11, 5, 14, 5]",43,985,1324,24990,46.828607836890725,3856,37,89
112,"[4, 4, 11, 6, 13, 5]",38,1037,322,34362,70.09823359769285,4371,49,93
113,"[4, 4, 11, 6, 13, 5]",43,873,1368,18246,45.79006052883084,3835,28,67
114,"[4, 4, 11, 7, 12, 5]",38,853,379,14928,69.55299206921413,4507,16,81
115,"[4, 4, 11, 7, 12, 5]",43,968,1373,21630,47.99458426250398,3973,26,80
116,"[4, 4, 11, 8, 11, 5]",38,855,461,21930,65.29560201874548,4428,37,39
117,"[4, 4, 11, 8, 11, 5]",43,985,1305,29010,46.144472762026126,3874,48,55
118,"[4, 4, 11, 9, 10, 5]",38,788,553,13698,64.92429704397982,4397,13,58
119,"[4, 4, 11, 9, 10, 5]",43,718,1357,16968,46.72029308697037,4061,23,54
120,"[4, 4, 12, 4, 14, 5]",38,885,232,20376,69.79181687094449,4584,26,91
