,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
0,"[4, 4, 4, 9, 12]",[33],1813,265,113436,71.16438356164385,3623,43,871
1,"[4, 4, 4, 10, 11]",[33],1476,324,79626,68.86882523868825,3659,12,854
2,"[4, 4, 4, 11, 10]",[33],1628,326,89808,68.20049813200498,3625,37,851
3,"[4, 4, 4, 12, 9]",[33],1750,478,143322,66.93233706932337,3370,84,855
4,"[4, 4, 4, 13, 8]",[33],1605,559,99024,63.759858862598584,3410,26,914
5,"[4, 4, 4, 14, 7]",[33],1655,683,129348,61.138439186384396,3391,39,937
6,"[4, 4, 4, 15, 6]",[33],1602,652,112632,58.40390203403902,3346,20,915
7,"[4, 4, 5, 8, 12]",[33],1458,312,52920,73.81693648816936,3838,29,595
8,"[4, 4, 5, 9, 11]",[33],1305,316,50484,69.50186799501869,3842,16,632
9,"[4, 4, 5, 10, 10]",[33],1259,357,35160,66.52137816521379,3874,16,500
10,"[4, 4, 5, 11, 9]",[33],1214,471,34062,66.92299709422997,3938,3,546
11,"[4, 4, 5, 12, 8]",[33],1375,522,41880,64.13864674138647,3649,18,575
12,"[4, 4, 5, 13, 7]",[33],1198,649,46932,62.23536737235368,3883,3,692
13,"[4, 4, 5, 14, 6]",[33],1357,635,51960,59.89829804898298,3606,30,645
14,"[4, 4, 5, 15, 5]",[33],1459,775,53940,57.011207970112075,3432,33,674
15,"[4, 4, 6, 7, 12]",[33],1304,210,35136,73.89269406392694,4023,18,452
16,"[4, 4, 6, 8, 11]",[33],1307,291,45618,74.3046907430469,3889,42,475
17,"[4, 4, 6, 9, 10]",[33],1109,393,36672,69.00269821502698,3949,25,390
18,"[4, 4, 6, 10, 9]",[33],1205,498,37344,69.55687007056869,3853,35,422
19,"[4, 4, 6, 11, 8]",[33],1363,560,46536,67.80614362806143,3802,33,518
20,"[4, 4, 6, 12, 7]",[33],1183,556,38184,63.16728933167289,3812,23,453
21,"[4, 4, 6, 13, 6]",[33],1277,680,39510,61.62515566625155,3713,28,473
22,"[4, 4, 6, 14, 5]",[33],1282,803,42552,57.43877127438771,3486,29,482
23,"[4, 4, 7, 6, 12]",[33],1209,272,36672,75.73474470734745,4216,45,285
24,"[4, 4, 7, 7, 11]",[33],1100,311,26796,77.06102117061022,4134,23,286
