,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
390,"[4, 12, 5, 6, 6]",33,1179,384,36048,79.81942714819426,3716,0,608
391,"[4, 12, 5, 7, 5]",33,1164,472,51990,75.99937733499378,3645,5,674
392,"[4, 12, 6, 4, 7]",33,1016,362,21936,80.58634288086343,3907,4,411
393,"[4, 12, 6, 5, 6]",33,886,377,23976,77.25819842258198,3961,0,476
394,"[4, 12, 6, 6, 5]",33,935,507,16656,76.34495641344957,3771,1,407
395,"[4, 12, 7, 4, 6]",33,834,432,13752,78.15276048152761,4057,1,293
396,"[4, 12, 7, 5, 5]",33,830,459,13536,74.98858447488584,3894,4,225
397,"[4, 12, 8, 4, 5]",33,690,494,12456,75.98381070983811,3980,3,198
398,"[4, 13, 4, 4, 8]",33,1333,230,95568,80.29991697799917,3692,1,882
399,"[4, 13, 4, 5, 7]",33,1598,299,113514,81.557700290577,3359,17,992
400,"[4, 13, 4, 6, 6]",33,1140,440,60624,76.43005396430054,3801,0,798
401,"[4, 13, 4, 7, 5]",33,1418,494,97320,80.77210460772105,3396,5,915
402,"[4, 13, 5, 4, 7]",33,1166,344,45402,80.47737650477377,3801,2,715
403,"[4, 13, 5, 5, 6]",33,1116,397,49380,78.88646741386466,3862,0,712
404,"[4, 13, 5, 6, 5]",33,1032,448,38592,78.31984225819842,3838,0,695
405,"[4, 13, 6, 4, 6]",33,944,478,27558,75.98588625985886,3910,1,474
406,"[4, 13, 6, 5, 5]",33,936,476,16572,77.31112494811126,3842,2,349
407,"[4, 13, 7, 4, 5]",33,851,541,13464,77.4398090493981,4000,1,314
408,"[4, 14, 4, 4, 7]",33,1312,353,79332,79.94188459941884,3646,0,888
409,"[4, 14, 4, 5, 6]",33,1195,463,78282,77.56849315068493,3606,0,855
410,"[4, 14, 4, 6, 5]",33,1100,482,74964,75.8260689082607,3577,0,818
411,"[4, 14, 5, 4, 6]",33,1125,389,43272,78.12577833125778,3839,4,694
412,"[4, 14, 5, 5, 5]",33,1098,456,35742,78.89269406392694,3725,0,643
413,"[4, 14, 6, 4, 5]",33,1025,465,34500,80.67662930676629,3790,4,502
414,"[4, 15, 4, 4, 6]",33,1166,445,76392,74.88584474885845,3796,0,876
415,"[4, 15, 4, 5, 5]",33,1072,483,52638,77.54047322540472,3633,0,735
416,"[4, 15, 5, 4, 5]",33,1075,512,46872,74.95537567455376,3706,2,678
417,"[5, 4, 4, 8, 12]",33,1592,114,99186,71.21627231216272,3594,26,842
418,"[5, 4, 4, 9, 11]",33,1549,168,92136,67.56849315068493,3513,23,914
419,"[5, 4, 4, 10, 10]",33,1716,169,144960,68.4277708592777,3407,52,920
420,"[5, 4, 4, 11, 9]",33,1585,230,83736,64.87131589871315,3487,24,858
421,"[5, 4, 4, 12, 8]",33,1561,253,101652,61.953092569530924,3432,28,832
422,"[5, 4, 4, 13, 7]",33,1525,329,64860,62.29452054794521,3444,4,800
423,"[5, 4, 4, 14, 6]",33,1376,444,67872,58.32191780821918,3535,1,780
424,"[5, 4, 4, 15, 5]",33,1509,468,99732,56.20900788709008,3167,28,854
425,"[5, 4, 5, 7, 12]",33,1325,105,53856,68.74221668742216,3893,28,614
426,"[5, 4, 5, 8, 11]",33,1358,105,58836,67.58509755085097,3805,34,653
427,"[5, 4, 5, 9, 10]",33,1467,100,69096,65.68908260689082,3699,38,720
428,"[5, 4, 5, 10, 9]",33,1378,226,51630,68.21814030718141,3820,27,646
429,"[5, 4, 5, 11, 8]",33,1197,276,46860,63.42050643420506,3882,10,676
430,"[5, 4, 5, 12, 7]",33,1352,338,48330,63.0593607305936,3597,31,576
431,"[5, 4, 5, 13, 6]",33,1512,412,68976,61.40307181403072,3444,52,662
432,"[5, 4, 5, 14, 5]",33,1287,509,52464,58.743254462432546,3522,37,580
433,"[5, 4, 6, 6, 12]",33,1181,102,33678,69.65338314653383,4106,21,413
434,"[5, 4, 6, 7, 11]",33,1131,112,24816,68.58862598588627,4004,13,361
435,"[5, 4, 6, 8, 10]",33,1080,181,32022,67.91926110419261,4095,25,370
436,"[5, 4, 6, 9, 9]",33,1132,246,30552,67.12328767123287,3961,36,307
437,"[5, 4, 6, 10, 8]",33,1270,310,42198,66.77874636778746,3802,34,454
438,"[5, 4, 6, 11, 7]",33,1164,350,42270,63.710045662100455,3734,41,406
439,"[5, 4, 6, 12, 6]",33,1188,385,35526,60.9142797841428,3698,44,332
440,"[5, 4, 6, 13, 5]",33,1165,534,39174,58.06766293067663,3514,27,415
441,"[5, 4, 7, 5, 12]",33,1020,77,24654,71.43835616438356,4081,21,254
442,"[5, 4, 7, 6, 11]",33,1018,117,19350,72.02054794520548,4160,15,274
443,"[5, 4, 7, 7, 10]",33,1069,185,27264,70.75861353258614,4106,15,306
444,"[5, 4, 7, 8, 9]",33,1017,229,23742,67.43150684931507,4069,31,184
445,"[5, 4, 7, 9, 8]",33,1052,250,23130,66.32316313823164,3952,23,281
446,"[5, 4, 7, 10, 7]",33,1071,393,29148,65.28019925280199,3933,35,254
447,"[5, 4, 7, 11, 6]",33,1019,434,28320,62.45952677459526,3941,37,240
448,"[5, 4, 7, 12, 5]",33,944,494,26052,59.63781652137816,3769,28,258
449,"[5, 4, 8, 4, 12]",33,1037,117,15768,72.63802407638023,4521,6,239
450,"[5, 4, 8, 5, 11]",33,1130,86,27318,71.00352843503528,4071,33,179
451,"[5, 4, 8, 6, 10]",33,996,164,21396,70.81465338314653,4187,22,176
452,"[5, 4, 8, 7, 9]",33,806,244,19374,67.51556662515567,4302,14,230
453,"[5, 4, 8, 8, 8]",33,1026,265,26664,69.96886674968866,4106,37,178
454,"[5, 4, 8, 9, 7]",33,957,375,25950,63.69136571191366,3997,31,176
455,"[5, 4, 8, 10, 6]",33,849,394,21762,63.99024491490245,4147,29,133
456,"[5, 4, 8, 11, 5]",33,871,468,18090,61.70402656704027,3975,9,207
457,"[5, 4, 9, 4, 11]",33,929,128,19608,70.91531755915318,4164,22,139
458,"[5, 4, 9, 5, 10]",33,868,135,18606,68.47550850975509,4342,27,122
459,"[5, 4, 9, 6, 9]",33,993,255,32928,70.3684101286841,4121,55,109
460,"[5, 4, 9, 7, 8]",33,865,294,25152,65.83229555832295,4012,40,103
461,"[5, 4, 9, 8, 7]",33,767,300,19620,65.28019925280199,4275,23,119
462,"[5, 4, 9, 9, 6]",33,981,358,31908,63.629099211291,3994,52,126
463,"[5, 4, 9, 10, 5]",33,975,441,21288,60.9464508094645,3926,26,140
464,"[5, 4, 10, 4, 10]",33,908,170,18432,70.61851390618514,4232,22,121
465,"[5, 4, 10, 5, 9]",33,959,270,23472,69.63885429638854,4146,29,103
466,"[5, 4, 10, 6, 8]",33,905,265,20880,67.92860107928601,4114,24,108
467,"[5, 4, 10, 7, 7]",33,744,316,16410,63.11332503113325,4116,20,94
468,"[5, 4, 10, 8, 6]",33,825,436,20778,61.38854296388543,4027,31,73
469,"[5, 4, 10, 9, 5]",33,963,452,20706,63.191158156911584,4035,32,80
470,"[5, 4, 11, 4, 9]",33,929,207,20784,67.90784557907845,4186,35,69
471,"[5, 4, 11, 5, 8]",33,795,334,14616,66.44977168949772,4114,20,76
472,"[5, 4, 11, 6, 7]",33,732,326,12432,65.59983395599835,4143,9,81
473,"[5, 4, 11, 7, 6]",33,811,379,22536,63.44437525944375,4169,30,84
474,"[5, 4, 11, 8, 5]",33,779,480,20280,62.85491905354918,3978,22,71
475,"[5, 4, 12, 4, 8]",33,913,310,19710,65.55417185554172,4016,20,81
476,"[5, 4, 12, 5, 7]",33,940,321,24072,65.40369447903694,3998,42,58
477,"[5, 4, 12, 6, 6]",33,858,464,18930,64.10336239103363,4072,30,58
478,"[5, 4, 12, 7, 5]",33,855,462,23490,57.842465753424655,3877,37,59
479,"[5, 4, 13, 4, 7]",33,735,420,7806,62.13366542133666,4233,1,71
480,"[5, 4, 13, 5, 6]",33,800,408,21336,61.84827729348278,4106,36,47
481,"[5, 4, 13, 6, 5]",33,941,486,27396,61.5390203403902,3972,37,57
482,"[5, 4, 14, 4, 6]",33,821,409,15048,61.15089248650892,4013,14,84
483,"[5, 4, 14, 5, 5]",33,739,506,13512,59.85782482357824,4075,15,62
484,"[5, 4, 15, 4, 5]",33,823,507,21576,58.625985886259855,3950,36,59
485,"[5, 5, 4, 7, 12]",33,1574,103,120792,71.28165213781652,3639,29,960
486,"[5, 5, 4, 8, 11]",33,1496,97,119712,68.54088833540888,3560,16,909
487,"[5, 5, 4, 9, 10]",33,1453,186,103674,69.94603569946035,3675,23,849
488,"[5, 5, 4, 10, 9]",33,1480,245,83796,67.9804898298049,3661,19,906
489,"[5, 5, 4, 11, 8]",33,1436,334,114918,66.23495226234952,3445,32,889
490,"[5, 5, 4, 12, 7]",33,1446,366,94086,62.29348277293483,3406,16,890
491,"[5, 5, 4, 13, 6]",33,1655,377,121488,63.938356164383556,3310,41,921
492,"[5, 5, 4, 14, 5]",33,1530,453,140808,60.06226650062266,3411,19,1039
493,"[5, 5, 5, 6, 12]",33,1415,90,63600,73.61249481112495,3817,50,655
494,"[5, 5, 5, 7, 11]",33,1328,123,50586,72.63698630136986,3886,10,675
495,"[5, 5, 5, 8, 10]",33,1399,152,47904,71.56392694063926,3785,23,627
496,"[5, 5, 5, 9, 9]",33,1181,198,39312,68.67891241178913,3823,5,599
497,"[5, 5, 5, 10, 8]",33,1284,272,48786,65.43794105437941,3612,40,543
498,"[5, 5, 5, 11, 7]",33,1331,306,56298,64.97820672478207,3638,38,661
499,"[5, 5, 5, 12, 6]",33,1219,417,35928,62.212536322125366,3535,14,560
500,"[5, 5, 5, 13, 5]",33,1023,513,33684,58.92486508924865,3777,4,584
501,"[5, 5, 6, 5, 12]",33,1333,90,38136,76.19240348692404,3927,35,431
502,"[5, 5, 6, 6, 11]",33,1031,151,23694,72.6162308011623,4055,7,382
503,"[5, 5, 6, 7, 10]",33,1059,195,21360,73.1112494811125,4057,12,357
504,"[5, 5, 6, 8, 9]",33,1131,162,28188,69.58073889580739,3982,13,384
505,"[5, 5, 6, 9, 8]",33,970,319,23934,67.81444582814446,3925,14,360
506,"[5, 5, 6, 10, 7]",33,1106,374,32970,66.28787878787878,3776,13,498
507,"[5, 5, 6, 11, 6]",33,1273,407,42840,65.65276048152761,3571,46,445
508,"[5, 5, 6, 12, 5]",33,1199,507,32682,63.423619759236196,3693,15,452
509,"[5, 5, 7, 4, 12]",33,1070,84,29736,73.1486093814861,4053,23,352
510,"[5, 5, 7, 5, 11]",33,963,130,19920,71.96450809464508,4162,10,263
511,"[5, 5, 7, 6, 10]",33,1131,148,30324,73.0873806558738,3920,37,262
512,"[5, 5, 7, 7, 9]",33,1044,219,29304,71.88148609381486,4075,25,355
513,"[5, 5, 7, 8, 8]",33,1029,291,25392,71.6137401411374,3962,24,284
514,"[5, 5, 7, 9, 7]",33,901,290,20004,66.27023661270238,4106,10,298
515,"[5, 5, 7, 10, 6]",33,1022,417,28308,65.79182233291823,3886,19,308
516,"[5, 5, 7, 11, 5]",33,808,494,14886,60.13283520132835,3983,10,228
517,"[5, 5, 8, 4, 11]",33,1030,129,17394,73.48796180987962,4120,7,227
518,"[5, 5, 8, 5, 10]",33,892,138,16080,72.42424242424242,4170,5,219
519,"[5, 5, 8, 6, 9]",33,861,231,16440,69.38252386882525,4221,11,174
520,"[5, 5, 8, 7, 8]",33,884,299,14994,69.60253217102532,4179,11,180
521,"[5, 5, 8, 8, 7]",33,926,365,27822,66.3107098381071,3948,35,142
522,"[5, 5, 8, 9, 6]",33,831,452,17304,70.29680365296804,4095,14,191
523,"[5, 5, 8, 10, 5]",33,983,454,21342,64.18742216687421,3928,21,178
524,"[5, 5, 9, 4, 10]",33,910,192,19416,71.55043586550435,4214,22,140
525,"[5, 5, 9, 5, 9]",33,867,207,20136,69.49252801992529,4255,21,125
526,"[5, 5, 9, 6, 8]",33,977,277,27228,73.52220838522209,4177,42,109
527,"[5, 5, 9, 7, 7]",33,831,326,10212,70.51266085512661,4167,6,133
528,"[5, 5, 9, 8, 6]",33,740,417,15768,66.11353258613532,4158,15,114
529,"[5, 5, 9, 9, 5]",33,741,464,15402,63.55230386052304,3994,12,128
530,"[5, 5, 10, 4, 9]",33,680,246,10008,68.84599418845994,4196,5,89
531,"[5, 5, 10, 5, 8]",33,1001,286,30954,71.36156081361561,3990,51,83
532,"[5, 5, 10, 6, 7]",33,779,386,13188,70.16293067662932,4216,10,108
533,"[5, 5, 10, 7, 6]",33,731,361,19776,64.04213366542135,4122,18,107
534,"[5, 5, 10, 8, 5]",33,902,468,13128,66.33769198837692,3996,14,73
535,"[5, 5, 11, 4, 8]",33,740,284,9690,68.38833540888335,4297,2,95
536,"[5, 5, 11, 5, 7]",33,891,358,21576,67.90784557907845,4056,38,58
537,"[5, 5, 11, 6, 6]",33,616,478,7584,64.65753424657534,4193,2,85
538,"[5, 5, 11, 7, 5]",33,798,411,16326,63.510792860107934,4131,15,85
539,"[5, 5, 12, 4, 7]",33,894,367,19680,65.74823578248235,4018,27,68
540,"[5, 5, 12, 5, 6]",33,583,426,7368,62.962847654628476,4213,4,64
541,"[5, 5, 12, 6, 5]",33,772,530,15816,61.992528019925274,3965,18,83
542,"[5, 5, 13, 4, 6]",33,816,482,12432,63.454753009547524,4093,12,86
543,"[5, 5, 13, 5, 5]",33,793,449,14544,62.62349522623495,4043,18,76
