,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
0,"[4, 4, 4, 9, 17]",[38],1485,406,95658,75.7227829848594,4291,34,871
1,"[4, 4, 4, 10, 16]",[38],1593,409,93072,72.29902667627974,4159,13,911
2,"[4, 4, 4, 11, 15]",[38],1598,566,88050,71.41672674837778,3996,17,870
3,"[4, 4, 4, 12, 14]",[38],1552,574,103140,69.91798846431146,4032,35,846
4,"[4, 4, 4, 13, 13]",[38],1506,704,121458,64.38536409516942,3876,24,923
5,"[4, 4, 4, 14, 12]",[38],1577,732,112776,64.68006488824801,3807,17,962
6,"[4, 4, 4, 15, 11]",[38],1570,880,100062,64.95403749098774,3581,40,826
7,"[4, 4, 5, 8, 17]",[38],1360,427,61524,76.85832732516222,4410,16,663
8,"[4, 4, 5, 9, 16]",[38],1319,451,53226,73.85814708002883,4343,30,577
9,"[4, 4, 5, 10, 15]",[38],1413,550,50052,71.3536409516943,4193,30,595
10,"[4, 4, 5, 11, 14]",[38],1313,585,42432,69.9747656813266,4199,21,526
11,"[4, 4, 5, 12, 13]",[38],1226,662,36612,66.29956741167989,4197,10,567
12,"[4, 4, 5, 13, 12]",[38],1469,761,49008,66.86643835616438,4103,24,641
13,"[4, 4, 5, 14, 11]",[38],1419,770,55584,64.16906993511175,3935,24,667
14,"[4, 4, 5, 15, 10]",[38],1319,906,64878,61.504145638067776,3920,19,719
15,"[4, 4, 6, 7, 17]",[38],1426,357,51876,76.52577505407353,4335,71,368
16,"[4, 4, 6, 8, 16]",[38],1152,511,30186,76.50144196106706,4606,14,449
17,"[4, 4, 6, 9, 15]",[38],1224,515,41574,74.83056957462149,4405,56,365
18,"[4, 4, 6, 10, 14]",[38],1092,512,27078,71.6618601297765,4596,9,412
19,"[4, 4, 6, 11, 13]",[38],1294,697,29724,70.80209084354723,4256,16,424
20,"[4, 4, 6, 12, 12]",[38],1218,861,38016,68.32011535688537,4139,33,404
21,"[4, 4, 6, 13, 11]",[38],1223,860,27348,65.71016582552272,4243,18,368
22,"[4, 4, 6, 14, 10]",[38],1326,936,38232,63.568853640951694,4001,37,447
23,"[4, 4, 7, 6, 17]",[38],1156,333,28596,78.61661860129776,4629,24,330
24,"[4, 4, 7, 7, 16]",[38],1167,468,28500,76.3788752703677,4655,30,279
25,"[4, 4, 7, 8, 15]",[38],1179,507,31896,75.88410237923576,4615,33,328
26,"[4, 4, 7, 9, 14]",[38],1085,591,30144,72.60003604902667,4522,18,395
27,"[4, 4, 7, 10, 13]",[38],1068,641,19956,71.86103100216295,4369,17,235
28,"[4, 4, 7, 11, 12]",[38],972,762,25908,66.90248738284066,4430,25,310
29,"[4, 4, 7, 12, 11]",[38],1104,893,27912,67.79019466474405,4326,19,295
30,"[4, 4, 7, 13, 10]",[38],894,902,14784,63.07408074981975,4305,7,245
31,"[4, 4, 8, 5, 17]",[38],990,386,17526,77.52162941600577,4751,18,164
32,"[4, 4, 8, 6, 16]",[38],1019,478,30000,77.30263157894737,4835,33,222
33,"[4, 4, 8, 7, 15]",[38],975,562,20010,75.6443763518385,4770,17,233
34,"[4, 4, 8, 8, 14]",[38],806,615,14520,72.14041095890411,4651,12,182
35,"[4, 4, 8, 9, 13]",[38],952,688,16326,71.93042537851478,4655,11,200
36,"[4, 4, 8, 10, 12]",[38],972,695,17928,70.02253064167267,4522,16,210
37,"[4, 4, 8, 11, 11]",[38],946,902,21318,65.49927901946647,4388,21,174
38,"[4, 4, 8, 12, 10]",[38],1097,977,28896,64.85760634462869,4155,41,157
39,"[4, 4, 9, 4, 17]",[38],1040,419,21408,78.04614275414565,4646,24,166
