,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
0,"[4, 4, 4, 9, 7]",28,1538,59,104382,63.48581213307241,3213,8,969
1,"[4, 4, 4, 10, 6]",28,1623,74,102990,61.60714285714286,3049,31,852
2,"[4, 4, 4, 11, 5]",28,1619,130,100212,62.34466731898238,3140,23,875
3,"[4, 4, 4, 12, 4]",28,1638,207,84762,60.49045988258317,2954,40,735
4,"[4, 4, 4, 13, 3]",28,1575,237,109320,57.0144324853229,3052,32,858
5,"[4, 4, 4, 14, 2]",28,1747,297,149106,57.011986301369866,2961,42,1046
6,"[4, 4, 4, 15, 1]",28,1745,365,157632,53.137230919765166,2724,53,999
7,"[4, 4, 5, 8, 7]",28,1426,50,48144,65.29109589041096,3396,45,540
8,"[4, 4, 5, 9, 6]",28,1276,74,45174,65.32534246575342,3530,2,677
9,"[4, 4, 5, 10, 5]",28,1636,108,74046,63.70229941291585,3238,47,697
10,"[4, 4, 5, 11, 4]",28,1385,148,53964,61.49706457925635,3296,25,654
11,"[4, 4, 5, 12, 3]",28,1291,213,53820,58.92367906066536,3331,14,644
12,"[4, 4, 5, 13, 2]",28,1546,318,76872,57.79476516634051,3080,25,768
13,"[4, 4, 5, 14, 1]",28,1210,362,36288,52.9488747553816,3209,7,591
14,"[4, 4, 5, 15, 0]",28,1408,451,56826,51.62059686888454,2844,32,573
15,"[4, 4, 6, 7, 7]",28,1308,39,35268,69.30650684931507,3525,28,413
16,"[4, 4, 6, 8, 6]",28,1127,66,31152,64.12793542074364,3567,20,389
17,"[4, 4, 6, 9, 5]",28,1306,126,50160,66.35151663405088,3514,44,451
18,"[4, 4, 6, 10, 4]",28,1301,185,44322,64.44471624266144,3344,45,473
19,"[4, 4, 6, 11, 3]",28,1120,215,34092,63.1103228962818,3411,40,320
20,"[4, 4, 6, 12, 2]",28,1249,305,35520,59.039872798434445,3311,33,369
21,"[4, 4, 6, 13, 1]",28,1256,368,39192,56.37230919765166,3219,31,409
22,"[4, 4, 6, 14, 0]",28,1196,445,37944,51.67441291585128,3198,49,332
23,"[4, 4, 7, 6, 7]",28,1054,34,24744,66.4041095890411,3740,27,232
24,"[4, 4, 7, 7, 6]",28,1038,90,23436,68.34515655577299,3677,18,225
25,"[4, 4, 7, 8, 5]",28,1260,120,48444,66.8688845401174,3522,78,284
26,"[4, 4, 7, 9, 4]",28,1179,145,28746,65.49902152641879,3531,42,218
27,"[4, 4, 7, 10, 3]",28,1174,245,28872,62.974559686888455,3487,38,267
28,"[4, 4, 7, 11, 2]",28,988,248,19950,58.89310176125244,3642,13,297
29,"[4, 4, 7, 12, 1]",28,1049,350,32028,56.48605675146771,3473,32,292
30,"[4, 4, 7, 13, 0]",28,1095,398,29544,52.96599804305284,3348,34,280
31,"[4, 4, 8, 5, 7]",28,948,35,13200,66.57045009784736,3971,5,220
32,"[4, 4, 8, 6, 6]",28,1110,66,27528,68.90533268101761,3694,31,177
33,"[4, 4, 8, 7, 5]",28,1007,113,23130,66.34662426614481,3695,29,160
34,"[4, 4, 8, 8, 4]",28,1116,151,30774,66.31849315068493,3718,46,175
35,"[4, 4, 8, 9, 3]",28,990,199,22512,61.44202544031311,3700,24,221
36,"[4, 4, 8, 10, 2]",28,983,241,21048,62.009540117416826,3617,13,214
37,"[4, 4, 8, 11, 1]",28,929,359,12096,56.462818003913895,3592,3,205
38,"[4, 4, 8, 12, 0]",28,1099,427,33336,53.74021526418786,3297,54,149
39,"[4, 4, 9, 4, 7]",28,1031,45,18648,66.5288649706458,3801,9,192
40,"[4, 4, 9, 5, 6]",28,974,88,19824,68.66438356164383,3926,23,162
41,"[4, 4, 9, 6, 5]",28,1015,113,24036,68.17636986301369,3646,33,124
42,"[4, 4, 9, 7, 4]",28,913,196,25182,65.56506849315068,3708,34,118
43,"[4, 4, 9, 8, 3]",28,962,247,20664,62.93909001956948,3738,19,141
44,"[4, 4, 9, 9, 2]",28,975,272,24864,62.80210371819961,3636,37,118
45,"[4, 4, 9, 10, 1]",28,921,354,21888,58.73899217221135,3614,21,164
46,"[4, 4, 9, 11, 0]",28,886,429,13032,56.75636007827789,3602,13,116
47,"[4, 4, 10, 4, 6]",28,963,68,17280,65.6470156555773,3825,18,118
48,"[4, 4, 10, 5, 5]",28,883,103,19920,66.1252446183953,3860,21,124
49,"[4, 4, 10, 6, 4]",28,898,191,15306,64.23067514677103,3794,17,74
50,"[4, 4, 10, 7, 3]",28,899,221,21384,64.04354207436398,3673,18,110
51,"[4, 4, 10, 8, 2]",28,824,245,16032,61.70009784735812,3726,13,93
52,"[4, 4, 10, 9, 1]",28,897,426,20280,59.37010763209394,3506,28,85
53,"[4, 4, 10, 10, 0]",28,997,443,28926,56.523972602739725,3464,55,65
54,"[4, 4, 11, 4, 5]",28,1041,130,26448,64.08023483365949,3602,43,85
55,"[4, 4, 11, 5, 4]",28,1041,152,25848,66.97284735812133,3748,28,116
56,"[4, 4, 11, 6, 3]",28,801,250,13362,64.0521037181996,3908,8,107
57,"[4, 4, 11, 7, 2]",28,846,313,18426,60.34001956947163,3662,29,53
58,"[4, 4, 11, 8, 1]",28,836,387,18438,58.762230919765166,3639,29,50
59,"[4, 4, 11, 9, 0]",28,873,420,24732,55.267857142857146,3575,33,70
60,"[4, 4, 12, 4, 4]",28,1073,163,27174,66.34295499021526,3759,31,117
61,"[4, 4, 12, 5, 3]",28,794,198,10560,62.457191780821915,3870,8,85
62,"[4, 4, 12, 6, 2]",28,924,314,20322,60.721624266144815,3598,23,62
63,"[4, 4, 12, 7, 1]",28,892,370,17400,60.204256360078276,3740,13,75
64,"[4, 4, 12, 8, 0]",28,966,470,26670,56.77837573385519,3521,44,64
65,"[4, 4, 13, 4, 3]",28,974,242,25740,61.40288649706458,3537,39,90
66,"[4, 4, 13, 5, 2]",28,1005,306,21816,62.303082191780824,3694,30,88
67,"[4, 4, 13, 6, 1]",28,882,386,20280,58.35494129158513,3641,31,61
68,"[4, 4, 13, 7, 0]",28,887,441,20844,52.6920254403131,3511,25,70
69,"[4, 4, 14, 4, 2]",28,994,310,28026,58.77446183953033,3595,44,76
70,"[4, 4, 14, 5, 1]",28,1056,324,27000,58.60445205479452,3471,44,73
71,"[4, 4, 14, 6, 0]",28,832,450,14808,54.025195694716245,3610,13,61
72,"[4, 4, 15, 4, 1]",28,1016,366,24492,57.95376712328767,3514,39,75
73,"[4, 4, 15, 5, 0]",28,886,430,14448,57.115949119373774,3661,10,81
74,"[4, 5, 4, 8, 7]",28,1585,34,91620,67.19545009784736,3319,33,875
75,"[4, 5, 4, 9, 6]",28,1555,90,94842,66.01883561643835,3190,25,830
76,"[4, 5, 4, 10, 5]",28,1637,103,121098,63.16413894324854,3120,29,959
77,"[4, 5, 4, 11, 4]",28,1841,204,163530,66.30381604696673,2925,57,1023
78,"[4, 5, 4, 12, 3]",28,1454,213,70878,58.597113502935414,3205,8,817
79,"[4, 5, 4, 13, 2]",28,1567,320,86244,57.882827788649706,3026,35,827
80,"[4, 5, 4, 14, 1]",28,1477,388,77898,54.84711350293542,3039,13,853
81,"[4, 5, 4, 15, 0]",28,1725,412,139254,53.58855185909981,2772,50,968
82,"[4, 5, 5, 7, 7]",28,1392,36,61392,68.13356164383562,3372,29,626
83,"[4, 5, 5, 8, 6]",28,1285,92,43842,66.6915362035225,3439,13,560
84,"[4, 5, 5, 9, 5]",28,1394,111,55680,65.49168297455968,3382,19,674
85,"[4, 5, 5, 10, 4]",28,1535,175,52464,68.16536203522506,3242,31,596
86,"[4, 5, 5, 11, 3]",28,1372,187,46368,61.46648727984344,3272,19,610
87,"[4, 5, 5, 12, 2]",28,1490,320,60156,59.81286692759296,3102,19,754
88,"[4, 5, 5, 13, 1]",28,1293,362,47880,58.91022504892368,3257,14,685
89,"[4, 5, 5, 14, 0]",28,1334,443,44874,56.45547945205479,3096,12,597
90,"[4, 5, 6, 6, 7]",28,1286,55,36384,71.59858121330724,3625,25,472
91,"[4, 5, 6, 7, 6]",28,1182,55,28626,68.1616927592955,3661,14,412
92,"[4, 5, 6, 8, 5]",28,1204,114,40272,68.418542074364,3432,46,366
93,"[4, 5, 6, 9, 4]",28,1144,207,33072,67.72994129158512,3622,0,537
94,"[4, 5, 6, 10, 3]",28,1201,213,33582,64.65141878669276,3445,13,443
95,"[4, 5, 6, 11, 2]",28,1301,280,37314,62.219911937377695,3367,34,483
96,"[4, 5, 6, 12, 1]",28,1046,367,26016,58.63013698630137,3509,19,354
97,"[4, 5, 6, 13, 0]",28,1336,473,35304,57.228473581213315,3126,33,400
