,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
0,"[4, 4, 4, 9, 22]",[43],1634,1100,127890,79.46718700223,4805,40,938
1,"[4, 4, 4, 10, 21]",[43],1554,1095,89304,77.44982478496337,4721,24,827
2,"[4, 4, 4, 11, 20]",[43],1661,1176,131490,76.21455877668048,4581,22,993
3,"[4, 4, 4, 12, 19]",[43],1631,1406,118848,73.14431347562919,4282,26,922
4,"[4, 4, 4, 13, 18]",[43],1573,1443,112314,72.30089200382287,4269,30,878
5,"[4, 4, 4, 14, 17]",[43],1489,1488,91362,69.50780503345014,4235,32,729
6,"[4, 4, 4, 15, 16]",[43],1781,1641,166344,66.8445364765849,4062,87,927
7,"[4, 4, 5, 8, 22]",[43],1399,1135,45288,80.35441223319528,4865,23,578
8,"[4, 4, 5, 9, 21]",[43],1470,1198,67932,79.39869385154508,4718,38,702
9,"[4, 4, 5, 10, 20]",[43],1225,1247,45660,77.74928321121376,4861,12,599
10,"[4, 4, 5, 11, 19]",[43],1490,1369,52656,74.62010194329405,4608,51,544
11,"[4, 4, 5, 12, 18]",[43],1500,1452,56562,74.73160242115323,4514,52,566
12,"[4, 4, 5, 13, 17]",[43],1326,1469,51576,69.97769990442816,4647,23,610
13,"[4, 4, 5, 14, 16]",[43],1397,1529,51696,69.61213762344696,4425,28,636
14,"[4, 4, 5, 15, 15]",[43],1388,1569,50586,67.05957311245619,4329,11,663
15,"[4, 4, 6, 7, 22]",[43],1104,1064,24978,81.9106403313157,5120,10,360
16,"[4, 4, 6, 8, 21]",[43],1276,1171,38550,80.63316342784326,5061,39,422
17,"[4, 4, 6, 9, 20]",[43],1119,1176,26064,78.06467027715833,5124,8,430
18,"[4, 4, 6, 10, 19]",[43],1331,1214,49902,75.75581395348837,4765,63,428
19,"[4, 4, 6, 11, 18]",[43],1201,1258,35058,73.84676648614207,4822,18,458
20,"[4, 4, 6, 12, 17]",[43],1201,1583,30852,71.46224912392482,4628,22,391
21,"[4, 4, 6, 13, 16]",[43],1300,1598,49536,69.72762026122969,4549,57,442
22,"[4, 4, 6, 14, 15]",[43],1324,1591,41424,67.03249442497611,4408,43,404
23,"[4, 4, 7, 6, 22]",[43],1102,907,32148,82.3215992354253,5347,38,256
24,"[4, 4, 7, 7, 21]",[43],1030,1208,23142,80.12344695762982,5095,24,233
25,"[4, 4, 7, 8, 20]",[43],1034,1141,20802,79.63443771901879,5200,10,279
26,"[4, 4, 7, 9, 19]",[43],1155,1387,33048,76.01784007645746,4746,40,271
27,"[4, 4, 7, 10, 18]",[43],1025,1338,31524,73.70340872889454,4804,28,276
28,"[4, 4, 7, 11, 17]",[43],1161,1437,35274,72.45938196877987,4786,49,238
