,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
0,"[4, 4, 4, 9, 27]",[48],1832,752,119706,81.44763127853881,4850,46,909
1,"[4, 4, 4, 10, 26]",[48],1767,787,124578,78.73858447488584,4829,43,893
2,"[4, 4, 4, 11, 25]",[48],1654,805,100572,78.80850456621005,4933,34,918
3,"[4, 4, 4, 12, 24]",[48],1594,1025,94068,76.5275399543379,4808,40,883
4,"[4, 4, 4, 13, 23]",[48],1562,1057,111072,73.89911529680366,4806,35,892
5,"[4, 4, 4, 14, 22]",[48],1534,1014,77226,72.05408105022832,4794,9,890
6,"[4, 4, 4, 15, 21]",[48],1732,1173,169068,70.41452625570777,4548,44,1067
7,"[4, 4, 5, 8, 27]",[48],1395,736,58494,81.16224315068493,5233,26,663
8,"[4, 4, 5, 9, 26]",[48],1269,724,48720,78.79994292237443,5329,35,595
9,"[4, 4, 5, 10, 25]",[48],1322,781,39774,77.16038812785388,5160,17,561
10,"[4, 4, 5, 11, 24]",[48],1391,843,44436,75.8347602739726,5095,29,530
11,"[4, 4, 5, 12, 23]",[48],1503,984,51264,75.4501997716895,4937,30,647
12,"[4, 4, 5, 13, 22]",[48],1442,1144,50196,73.97902397260275,4790,43,546
13,"[4, 4, 5, 14, 21]",[48],1419,1198,50778,69.76526826484019,4836,22,634
14,"[4, 4, 5, 15, 20]",[48],1287,1196,52488,69.85659246575342,4845,16,628
15,"[4, 4, 6, 7, 27]",[48],1235,702,38568,80.6021689497717,5317,33,415
16,"[4, 4, 6, 8, 26]",[48],1240,752,38634,80.27254566210046,5263,41,372
17,"[4, 4, 6, 9, 25]",[48],1281,837,29694,78.69863013698631,5375,17,413
18,"[4, 4, 6, 10, 24]",[48],1308,847,49500,77.16038812785388,5191,59,395
19,"[4, 4, 6, 11, 23]",[48],1189,962,28050,76.06949200913242,5288,21,385
20,"[4, 4, 6, 12, 22]",[48],1150,1107,31830,74.27796803652969,5207,21,423
21,"[4, 4, 6, 13, 21]",[48],1215,1060,34710,72.3230593607306,5035,31,387
22,"[4, 4, 6, 14, 20]",[48],1120,1155,23046,69.04252283105022,5010,10,362
23,"[4, 4, 7, 6, 27]",[48],1188,703,34674,81.9263698630137,5603,39,328
24,"[4, 4, 7, 7, 26]",[48],1075,760,32928,80.92251712328768,5453,42,259
25,"[4, 4, 7, 8, 25]",[48],986,772,24060,78.1806506849315,5513,19,275
26,"[4, 4, 7, 9, 24]",[48],1039,913,27102,77.98444634703196,5434,21,303
27,"[4, 4, 7, 10, 23]",[48],1070,1057,28254,76.85930365296804,5326,23,299
28,"[4, 4, 7, 11, 22]",[48],1068,1059,26928,73.85987442922375,5160,22,275
29,"[4, 4, 7, 12, 21]",[48],1111,1059,31530,71.72802511415524,5025,22,292
30,"[4, 4, 7, 13, 20]",[48],1018,1219,19536,71.21004566210046,5092,11,229
31,"[4, 4, 8, 5, 27]",[48],1046,743,25692,81.87928082191782,5634,31,182
32,"[4, 4, 8, 6, 26]",[48],999,697,24834,80.84617579908677,5563,29,172
33,"[4, 4, 8, 7, 25]",[48],1095,832,26484,80.36315639269407,5500,36,198
34,"[4, 4, 8, 8, 24]",[48],1058,980,24960,76.96204337899543,5306,29,151
35,"[4, 4, 8, 9, 23]",[48],994,999,22992,76.59460616438356,5428,27,171
36,"[4, 4, 8, 10, 22]",[48],1017,1049,21288,74.28010844748857,5250,17,196
37,"[4, 4, 8, 11, 21]",[48],769,1160,14376,72.74543378995433,5309,9,160
38,"[4, 4, 8, 12, 20]",[48],1053,1109,26472,71.16295662100457,5233,40,156
39,"[4, 4, 9, 4, 27]",[48],1218,830,36870,82.94235159817352,5497,44,218
40,"[4, 4, 9, 5, 26]",[48],1036,744,34344,79.49486301369863,5533,60,115
41,"[4, 4, 9, 6, 25]",[48],1061,898,24726,80.01926369863014,5502,40,139
42,"[4, 4, 9, 7, 24]",[48],864,821,19104,78.79494863013699,5677,16,165
43,"[4, 4, 9, 8, 23]",[48],905,1006,18768,76.36558219178082,5507,22,107
44,"[4, 4, 9, 9, 22]",[48],890,1054,17148,75.7748287671233,5431,17,114
45,"[4, 4, 9, 10, 21]",[48],673,1192,8784,72.90953196347031,5427,1,112
46,"[4, 4, 9, 11, 20]",[48],703,1207,7554,71.22788242009133,5311,5,117
47,"[4, 4, 10, 4, 26]",[48],827,773,11880,79.64897260273973,5724,9,92
48,"[4, 4, 10, 5, 25]",[48],978,847,23898,79.72388698630138,5492,27,121
49,"[4, 4, 10, 6, 24]",[48],893,1021,24384,78.26341324200912,5484,42,65
50,"[4, 4, 10, 7, 23]",[48],855,985,15456,76.56963470319634,5432,15,106
51,"[4, 4, 10, 8, 22]",[48],984,1058,25752,75.33533105022832,5467,40,80
52,"[4, 4, 10, 9, 21]",[48],936,1295,22458,75.67208904109589,5397,35,79
53,"[4, 4, 10, 10, 20]",[48],1031,1219,32466,72.64554794520548,5149,59,70
54,"[4, 4, 11, 4, 25]",[48],1082,900,41604,79.07034817351598,5591,77,73
